Fips,State,County,$ Average House Price,$ Average Rent,$ Intrinsic Value Of Average House,% Property Tax Rate,% Rent Growth Forecast,% Total Return,% Annual Return,% Net Annual Return
37123,NC,Montgomery,97400.0,10884.0,109610.0,0.7,0.0,12.5,6.4,0.7
48171,TX,Gillespie,299300.0,20208.0,317672.0,1.0,1.6,6.1,6.1,0.4
55061,WI,Kewaunee,141900.0,10440.0,88974.0,1.7,0.0,-37.3,3.6,-2.1
18113,IN,Noble,124900.0,12252.0,129284.0,0.8,0.0,3.5,5.9,0.2
42127,PA,Wayne,147600.0,15000.0,180688.0,1.1,0.7,22.4,7.0,1.3
06073,CA,San Diego,589200.0,31104.0,895250.0,0.8,2.5,51.9,8.7,3.0
13177,GA,Lee,144500.0,13860.0,158223.0,1.0,0.4,9.5,6.3,0.5
18129,IN,Posey,149200.0,12396.0,130188.0,0.8,0.0,-12.7,5.0,-0.7
47031,TN,Coffee,135500.0,13680.0,158719.0,0.8,0.4,17.1,6.7,1.0
37093,NC,Hoke,154000.0,12228.0,128289.0,0.8,0.0,-16.7,4.8,-1.0
51065,VA,Fluvanna,204700.0,16488.0,237322.0,0.6,1.0,15.9,6.6,0.9
56029,WY,Park,250400.0,14340.0,181894.0,0.6,0.5,-27.4,4.2,-1.6
26069,MI,Iosco,74300.0,10380.0,95180.0,1.1,0.0,28.1,7.3,1.6
47185,TN,White,108600.0,12528.0,139133.0,0.5,0.0,28.1,7.3,1.6
37149,NC,Polk,211300.0,15288.0,202443.0,0.7,0.8,-4.2,5.5,-0.2
21209,KY,Scott,180400.0,16536.0,237359.0,0.6,1.0,31.6,7.5,1.8
51775,VA,Salem City,154900.0,14256.0,167089.0,1.0,0.5,7.9,6.2,0.5
48467,TX,Van Zandt,123000.0,14904.0,184150.0,1.0,0.7,49.7,8.6,2.8
21005,KY,Anderson,149300.0,13008.0,143785.0,0.8,0.2,-3.7,5.5,-0.2
28071,MS,Lafayette,203100.0,17376.0,260291.0,0.7,1.2,28.2,7.3,1.6
47115,TN,Marion,108100.0,12936.0,149558.0,0.5,0.1,38.4,7.9,2.2
41061,OR,Union,189100.0,15276.0,196942.0,0.8,0.8,4.1,6.0,0.2
29113,MO,Lincoln,166900.0,13284.0,149726.0,0.8,0.2,-10.3,5.1,-0.6
18099,IN,Marshall,134900.0,13188.0,148353.0,0.8,0.2,10.0,6.3,0.6
08083,CO,Montezuma,222700.0,15828.0,228994.0,0.4,0.9,2.8,5.9,0.2
24031,MD,Montgomery,447200.0,27696.0,551476.0,0.9,2.3,23.3,7.1,1.3
06021,CA,Glenn,213700.0,15888.0,219762.0,0.7,0.9,2.8,5.9,0.2
22115,LA,Vernon,95700.0,13776.0,179343.0,0.2,0.4,87.4,10.7,5.0
29101,MO,Johnson,159300.0,13284.0,151827.0,0.7,0.2,-4.7,5.5,-0.3
40051,OK,Grady,119300.0,11376.0,115919.0,0.8,0.0,-2.8,5.6,-0.2
32005,NV,Douglas,413100.0,22320.0,415825.0,0.6,1.9,0.7,5.8,0.0
42131,PA,Wyoming,149200.0,14100.0,160457.0,1.1,0.5,7.5,6.2,0.4
04023,AZ,Santa Cruz,128200.0,13668.0,160282.0,0.8,0.4,25.0,7.2,1.4
27083,MN,Lyon,131600.0,13752.0,153430.0,1.1,0.4,16.6,6.7,0.9
12095,FL,Orange,241600.0,18372.0,263114.0,1.1,1.4,8.9,6.2,0.5
40021,OK,Cherokee,94500.0,10500.0,106008.0,0.5,0.0,12.2,6.4,0.7
22089,LA,Saint Charles,191500.0,16212.0,233957.0,0.5,1.0,22.2,7.0,1.3
13195,GA,Madison,130400.0,12408.0,128449.0,0.9,0.0,-1.5,5.6,-0.1
55125,WI,Vilas,193000.0,12444.0,129887.0,0.9,0.0,-32.7,3.8,-1.9
55135,WI,Waupaca,133900.0,11964.0,108765.0,1.7,0.0,-18.8,4.6,-1.1
13123,GA,Gilmer,192400.0,16080.0,226327.0,0.6,0.9,17.6,6.7,1.0
40113,OK,Osage,106600.0,10956.0,110519.0,0.7,0.0,3.7,5.9,0.2
51145,VA,Powhatan,274800.0,18852.0,301101.0,0.7,1.4,9.6,6.3,0.5
37169,NC,Stokes,142300.0,13032.0,146566.0,0.7,0.2,3.0,5.9,0.2
18031,IN,Decatur,134600.0,12228.0,130653.0,0.7,0.0,-2.9,5.6,-0.2
48089,TX,Colorado,139100.0,16140.0,213289.0,1.0,1.0,53.3,8.8,3.1
40019,OK,Carter,85100.0,10452.0,101588.0,0.8,0.0,19.4,6.8,1.1
47043,TN,Dickson,163400.0,13824.0,167614.0,0.6,0.4,2.6,5.9,0.1
12003,FL,Baker,172800.0,15036.0,190791.0,0.8,0.7,10.4,6.3,0.6
05035,AR,Crittenden,88000.0,10500.0,102795.0,0.7,0.0,16.8,6.7,1.0
48265,TX,Kerr,196200.0,17988.0,249996.0,1.2,1.3,27.4,7.3,1.6
49035,UT,Salt Lake,351600.0,19632.0,320583.0,0.7,1.5,-8.8,5.2,-0.5
48201,TX,Harris,185300.0,17964.0,223535.0,1.9,1.3,20.6,6.9,1.2
29175,MO,Randolph,100200.0,10188.0,96886.0,0.8,0.0,-3.3,5.5,-0.2
28145,MS,Union,159500.0,14376.0,186568.0,0.5,0.6,17.0,6.7,1.0
21019,KY,Boyd,90900.0,12744.0,139326.0,0.7,0.1,53.3,8.8,3.0
51820,VA,Waynesboro City,157000.0,13680.0,161690.0,0.7,0.4,3.0,5.9,0.2
40147,OK,Washington,92300.0,10716.0,104081.0,0.9,0.0,12.8,6.5,0.7
19015,IA,Boone,142400.0,12948.0,129154.0,1.5,0.1,-9.3,5.2,-0.5
13311,GA,White,171300.0,13680.0,157961.0,0.9,0.4,-7.8,5.3,-0.4
18065,IN,Henry,85100.0,9624.0,87017.0,0.9,0.0,2.3,5.8,0.1
49041,UT,Sevier,202600.0,13584.0,164093.0,0.5,0.3,-19.0,4.6,-1.1
51840,VA,Winchester City,223900.0,17280.0,253024.0,0.8,1.2,13.0,6.5,0.7
37189,NC,Watauga,235400.0,15600.0,220453.0,0.4,0.8,-6.3,5.4,-0.4
39149,OH,Shelby,138400.0,12732.0,130096.0,1.2,0.1,-6.0,5.4,-0.3
13147,GA,Hart,149100.0,13680.0,162626.0,0.7,0.4,9.1,6.2,0.5
36107,NY,Tioga,123700.0,16716.0,186264.0,2.2,1.1,50.6,8.6,2.9
41009,OR,Columbia,293200.0,18420.0,272468.0,1.0,1.4,-7.1,5.3,-0.4
13293,GA,Upson,71200.0,10164.0,95956.0,0.8,0.0,34.8,7.7,2.0
13257,GA,Stephens,107300.0,12096.0,122847.0,1.0,0.0,14.5,6.5,0.8
48453,TX,Travis,341600.0,21588.0,310259.0,1.8,1.8,-9.2,5.2,-0.5
48073,TX,Cherokee,89400.0,13188.0,137441.0,1.3,0.2,53.7,8.8,3.1
48407,TX,San Jacinto,134000.0,15084.0,179550.0,1.3,0.7,34.0,7.7,1.9
47053,TN,Gibson,79000.0,9540.0,86754.0,0.8,0.0,9.8,6.3,0.6
17063,IL,Grundy,183300.0,16488.0,187378.0,2.0,1.0,2.2,5.8,0.1
24039,MD,Somerset,102900.0,14820.0,182912.0,0.9,0.7,77.8,10.2,4.4
55057,WI,Juneau,115800.0,11772.0,106646.0,1.7,0.0,-7.9,5.3,-0.5
28117,MS,Prentiss,87900.0,10080.0,99637.0,0.5,0.0,13.4,6.5,0.8
36057,NY,Montgomery,106400.0,16344.0,171753.0,2.5,1.0,61.4,9.2,3.5
18029,IN,Dearborn,175600.0,14292.0,170958.0,0.9,0.5,-2.6,5.6,-0.2
37007,NC,Anson,62800.0,9828.0,91586.0,0.8,0.0,45.8,8.3,2.6
48119,TX,Delta,77900.0,13620.0,143047.0,1.4,0.3,83.6,10.5,4.8
17031,IL,Cook,222400.0,19800.0,268338.0,1.8,1.6,20.7,6.9,1.2
49003,UT,Box Elder,211500.0,15708.0,213904.0,0.7,0.9,1.1,5.8,0.1
40079,OK,LeFlore,78600.0,9924.0,95946.0,0.6,0.0,22.1,7.0,1.3
36023,NY,Cortland,121800.0,16644.0,170646.0,2.8,1.1,40.1,8.0,2.3
45037,SC,Edgefield,137900.0,11868.0,129415.0,0.5,0.0,-6.2,5.4,-0.4
36017,NY,Chenango,93000.0,15240.0,158986.0,2.2,0.8,71.0,9.8,4.1
44001,RI,Bristol,343200.0,25176.0,419900.0,1.5,2.1,22.3,7.0,1.3
40065,OK,Jackson,58100.0,8472.0,71909.0,0.7,0.0,23.8,7.1,1.4
41057,OR,Tillamook,296300.0,18612.0,292208.0,0.7,1.4,-1.4,5.6,-0.1
42009,PA,Bedford,127400.0,12888.0,138468.0,0.9,0.1,8.7,6.2,0.5
19027,IA,Carroll,139500.0,12396.0,124063.0,1.2,0.0,-11.1,5.1,-0.6
41013,OR,Crook,240900.0,17184.0,245360.0,0.9,1.2,1.9,5.8,0.1
13207,GA,Monroe,173400.0,15240.0,198889.0,0.8,0.8,14.7,6.6,0.8
16039,ID,Elmore,162900.0,12144.0,127503.0,0.8,0.0,-21.7,4.5,-1.2
13039,GA,Camden,156400.0,13728.0,156115.0,1.0,0.4,-0.2,5.7,-0.0
36049,NY,Lewis,117300.0,15612.0,183288.0,1.5,0.8,56.3,8.9,3.2
01031,AL,Coffee,114500.0,10728.0,112928.0,0.4,0.0,-1.4,5.6,-0.1
48221,TX,Hood,214100.0,17856.0,245424.0,1.2,1.3,14.6,6.6,0.8
13237,GA,Putnam,194000.0,16032.0,229548.0,0.5,0.9,18.3,6.8,1.0
13279,GA,Toombs,107700.0,12036.0,124742.0,0.8,0.0,15.8,6.6,0.9
26123,MI,Newaygo,95100.0,11208.0,102872.0,1.4,0.0,8.2,6.2,0.5
13103,GA,Effingham,176700.0,15552.0,196216.0,1.1,0.8,11.0,6.4,0.6
