symbol,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
A,-414000000,1087000000,2227000000,3848000000,2247000000,,2687000000,316000000,1759000000,,928000000,4914000000,2018-10-31,385000000,4567000000,8541000000.0,2247000000,,3970000000,4914000000
A,382000000,889000000,2063000000,4169000000,2678000000,210000000.0,2409000000,684000000,1568000000,,841000000,4472000000,2017-10-31,339000000,4831000000,8426000000.0,2678000000,2011000000.0,3591000000,4472000000
A,287000000,793000000,2005000000,3635000000,2289000000,,2197000000,462000000,1582000000,-2000000.0,615000000,4202000000,2016-10-31,329000000,4243000000,7794000000.0,2289000000,,3548000000,4202000000
A,-977000000,491000000,1997000000,3686000000,2003000000,,2041000000,401000000,1519000000,3000000.0,522000000,4038000000,2015-10-31,330000000,4167000000,7479000000.0,2003000000,,3309000000,4038000000
AA,492000000,1224000000,9072000000,4238000000,1358000000,16000000,2580000000,217000000,1084000000,4000000,1496000000,11652000000,2017-12-31,32000000,4523000000,17447000000.0,1358000000,1404000000,10649000000,11652000000
AA,283000000,-311000000,7898000000,3181000000,853000000,21000000,1420000000,-400000000,1233000000,-50000000,187000000,9318000000,2016-12-31,33000000,5654000000,16741000000.0,853000000,1445000000,9044000000,9318000000
AA,329000000,875000000,9039000000,2566000000,557000000,18000000,2160000000,-863000000,1202000000,193000000,958000000,11199000000,2015-12-31,69000000,9442000000,16413000000.0,557000000,225000000,4900000000,11199000000
AA,60000000,842000000,10548000000,2917000000,266000000,29000000,2599000000,-256000000,1547000000,140000000,1052000000,13147000000,2014-12-31,95000000,10599000000,18680000000.0,266000000,342000000,5607000000,13147000000
AABA,4805423000,505226000,,,5960731000,,,20648182000,,,,,2017-12-31,,62485919000,81203086000.0,,,18717167000,21554005000
AABA,-519084000,1248863000,,,1119469000,,,-214321000,,-308572000.0,,,2016-12-31,1055462000.0,31049283000,48083079000.0,,,16999003000,5169135000
AABA,-1008568000,-2383422000,,,1631911000,,,-4359082000,,-231929000.0,,,2015-12-31,1177923000.0,29043537000,45203966000.0,,,16124546000,4968301000
AABA,636203000,896700000,,,2667916000,,,7521731000,,-11454098000.0,,,2014-12-31,1207146000.0,38741837000,61707336000.0,,,22921744000,4618133000
AAC,9854000,19292000,,111936000,13818000,4722000,,-20579000,300615000,5490000.0,17026000,317641000,2017-12-31,,150994000,428275000.0,13818000,225714000,292107000,317641000
AAC,-14786000,143000,,96479000,3964000,9445000,,-589000,276423000,163000.0,3347000,279770000,2016-12-31,,165106000,383884000.0,3964000,189106000,229096000,279770000
AAC,-29790000,6193000,,86524000,18750000,4806000,212261000.0,11174000,192253000,-1410000.0,20008000,212261000,2015-12-31,,141654000,316049000.0,18750000,145141000,179561000,212261000
AAC,46528000,8038000,,79922000,48540000,4357000,132968000.0,7548000,120936000,,12032000,132968000,2014-12-31,,97474000,145952000.0,48540000,28641000,50811000,132968000
AAL,-27000000,4744000000,32609000000,9146000000,295000000,2554000000,9598000000,1919000000,4940000000,-132000000,4658000000,36933000000,2017-12-31,,3926000000,51396000000.0,5066000000,25065000000,47470000000,42207000000
AAL,-68000000,6524000000,29648000000,10324000000,322000000,1855000000,10532000000,2676000000,4525000000,-68000000,6007000000,35279000000,2016-12-31,,3785000000,51274000000.0,6359000000,24344000000,47489000000,40180000000
AAL,-604000000,6249000000,29332000000,9985000000,390000000,2231000000,11658000000,7610000000,4374000000,-193000000,7284000000,36272000000,2015-12-31,,5635000000,48415000000.0,6254000000,20561000000,42780000000,40990000000
AAL,-146000000,3080000000,33459000000,11750000000,994000000,1677000000,9191000000,2882000000,4118000000,-163000000,5073000000,37999000000,2014-12-31,,2021000000,43225000000.0,7303000000,17720000000,41204000000,42650000000
AAMC,-7235000,365000,,58413000,33349000,,18160000,-6969000,25507000,,-7347000,18160000,2017-12-31,,-196895000,60387000.0,53240000,,257282000,18160000
AAMC,-143960000,-192000,,65748000,40584000,,19991000,-4935000,24314000,,-4323000,19991000,2016-12-31,,-192279000,65748000.0,58518000,,258027000,19991000
AAMC,67762000,-183237000,62346000.0,254305000,184544000,,185753000,-3290000,178864000,-145213000.0,6889000,248099000,2015-12-31,,-180861000,2518601000.0,184544000,,1553823000,248099000
AAMC,-23218000,-135359000,68181000.0,164512000,116782000,,355117000,59679000,74249000,-68019000.0,280868000,423298000,2014-12-31,,-177117000,2760698000.0,116782000,,1610904000,423298000
AAME,11295000,2634000,,,24547000,,,4528000,,-9168000,,,2017-12-31,,112983000,343239000.0,,,230256000,181114000
AAME,-2370000,1316000,,,13252000,,,2636000,,-2595000,,,2016-12-31,,105506000,318600000.0,,,213094000,166077000
AAME,-753000,2209000,,,15622000,,,4388000,,-4857000,,,2015-12-31,,102492000,314603000.0,,,212111000,165937000
AAME,-16727000,4453000,,,16375000,,,4430000,,-2321000,,,2014-12-31,,104195000,317008000.0,,,212813000,166321000
AAN,-257599000,159135000,2735340000,435806000,51037000,97192000.0,648368000,292536000,205636000,,442732000,3381152000,2017-12-31,,1728004000,2692264000.0,71422000,368798000.0,964260000,3383708000
AAN,293492000,465444000,2623351000,605896000,308561000,146515000.0,584365000,139283000,199584000,,384781000,3202118000,2016-12-31,,1481598000,2615736000.0,329080000,497829000.0,1134138000,3207716000
AAN,11393000,166761000,2550325000,498670000,14942000,156235000.0,629431000,135709000,269982000,,359449000,3173545000,2015-12-31,,1366618000,2698488000.0,37168000,606746000.0,1331870000,3179756000
AAN,-227542000,-48962000,1287232000,322254000,3549000,,1438007000,78233000,1271101000,,166906000,2719397000,2014-12-31,,1223521000,2456844000.0,24860000,,1233323000,2725239000
AAOI,32369000,84284000,216049000,229697000,83948000,559000,166280000,73951000,79329000,427000,86951000,382329000,2017-12-31,35365000,333276000,452984000.0,82972000,49559000,119708000,382329000
AAOI,20203000,57104000,173759000,157552000,50224000,7865000,86954000,31234000,63934000,-811000,23020000,260713000,2016-12-31,31780000,227384000,322318000.0,50268000,42826000,94934000,260713000
AAOI,-3718000,-15212000,129450000,153928000,28074000,33906000,60453000,10793000,47004000,2540000,13449000,189903000,2015-12-31,20852000,165398000,273475000.0,35960000,67903000,108077000,189903000
AAOI,9104000,7242000,86203000,113239000,32175000,9591000,44246000,4283000,39108000,12000,5138000,130449000,2014-12-31,15970000,115012000,183670000.0,40364000,28648000,68658000,130449000
AAON,-2696000,57994000,281835000,153727000,21457000,,123397000,54498000,49070000,-14000,74327000,405232000,2017-12-31,,237226000,296780000.0,30414000,,59554000,405232000
AAON,16245000,63923000,265897000,140981000,24153000,,118080000,53376000,38551000,-42000,79529000,383977000,2016-12-31,,205898000,256530000.0,43748000,,50632000,383977000
AAON,-14044000,52910000,249951000,124213000,7908000,,108681000,45728000,37438000,80000,71243000,358632000,2015-12-31,,178918000,232854000.0,30432000,,53936000,358632000
AAON,9867000,52279000,248059000,124940000,21952000,,108263000,44158000,40562000,-231000,67701000,356322000,2014-12-31,,174059000,226974000.0,40022000,,52915000,356322000
AAP,407294000,600805000,5288735000,5426892000,546937000,,4085049000,475505000,3514837000,17106000,570212000,9373784000,2017-12-31,,3415196000,8482301000.0,546937000,,5067105000,9373784000
AAP,44139000,500874000,5311764000,5172764000,135178000,306000.0,4255915000,459622000,3468317000,5999000,787598000,9567679000,2016-12-31,,2916192000,8315033000.0,135178000,1043255000.0,5398841000,9567679000
AAP,-9676000,689642000,5314246000,4940746000,90782000,598000.0,4422772000,473398000,3596992000,12882000,825780000,9737018000,2015-12-31,,2460648000,8127701000.0,90782000,1206895000.0,5667053000,9737018000
AAP,-1003335000,708991000,5390248000,4741040000,104671000,582000.0,4453613000,493825000,3601903000,13281000,851710000,9843861000,2014-12-31,,2002912000,7962358000.0,104671000,1636893000.0,5959446000,9843861000
AAPL,5624000000,77434000000,163756000000,131339000000,25913000000,20748000000,101839000000,59531000000,30941000000,,70898000000,265595000000,2018-09-30,14236000000,107147000000,365725000000.0,66301000000,114483000000,258578000000,265595000000
AAPL,-195000000,63598000000,141048000000,128645000000,20289000000,18473000000,88186000000,48351000000,26842000000,,61344000000,229234000000,2017-09-30,11581000000,134047000000,375319000000.0,74181000000,115680000000,241272000000,229234000000
AAPL,-636000000,65824000000,131376000000,106869000000,20484000000,11605000000,84263000000,45687000000,24239000000,,60024000000,215639000000,2016-09-30,10045000000,128249000000,321686000000.0,67155000000,87032000000,193437000000,215639000000
AAPL,7276000000,81266000000,140089000000,89378000000,21120000000,10999000000,93626000000,53394000000,22396000000,,71230000000,233715000000,2015-09-30,8067000000,119355000000,290345000000.0,41601000000,64328000000,170990000000,233715000000
AAT,37203000,145853000,116677000,101823000,91954000,,198306000,29077000,104660000,10667000.0,93646000,298803000,2017-12-31,,833710000,2259864000.0,82610000,,1415720000,314983000
AAT,4876000,122663000,107931000,64081000,44801000,,187157000,32585000,89216000,,97941000,279498000,2016-12-31,,809556000,1986933000.0,44801000,,1148382000,295088000
AAT,-19432000,110724000,98006000,59066000,39925000,,177617000,38509000,83466000,-7121000.0,94151000,261887000,2015-12-31,,799562000,1974289000.0,39925000,,1145362000,275623000
AAT,10370000,105611000,91231000,77078000,59357000,,168769000,21756000,85100000,1617000.0,83669000,246078000,2014-12-31,,735303000,1941762000.0,59357000,,1175186000,260000000
AAU,5219915.72976,-2126894.47539,,13282119.70949,12988731.40078,,,-4159768.84515,4532264.64131,1399.4992,-4532264.64131,,2017-12-31,,51471602.98821,53119897.36332,12988731.40078,,1648294.37511,
AAU,2638520.414328,-1726521.306336,,7550506.318704,7267184.482956,,,-2992786.886304,3322718.346864,10086.28056,-3322718.346864,,2016-12-31,,33636696.87294,35342070.46227,7267184.482956,,1705373.58933,
AAU,-1409076.4194,-2179548.14922,,4774132.90614,4497014.97726,,166303.71108,-827113.88175,3078366.79371,84707.04138,-2912063.08263,166303.71108,2015-12-31,,26003615.64099,27617085.53916,4497014.97726,,1613469.89817,166303.71108
AAU,-3289038.920125,-2657872.6805,,8359360.240035,7032643.16797,,67151.14854,-12892809.693505,3138309.391695,152680.315935,-3071158.243155,67151.14854,2014-12-31,,34107876.80179,36157675.16269,7766768.306315,,2049798.3609,67151.14854
AAWW,153614000,331719000,1741259000,587586000,291864000,218013000,415201000,223473000,173152000,136000,242049000,2156460000,2017-12-31,,1789856000,4955462000.0,294413000,2226999000,3165606000,2156460000
AAWW,-300681000,232182000,1496383000,358070000,138250000,184748000,343244000,41516000,164804000,121000,178440000,1839627000,2016-12-31,,1517338000,4247379000.0,128203000,1851411000,2730041000,1839627000
AAWW,127349000,372887000,1446155000,651937000,425950000,161811000,376504000,7286000,234073000,71266000,142431000,1807413000,2015-12-31,,1454183000,4164403000.0,431048000,1901307000,2710220000,1822659000
AAWW,-23215000,273145000,1477313000,565181000,298601000,181193000,321885000,106757000,116120000,14679000,205765000,1784826000,2014-12-31,,1417795000,4007277000.0,316403000,1917940000,2589482000,1799198000
AAXN,33718000,18490000,136710000,205192000,75105000,,207088000,5207000,194065000,1118000,13023000,343798000,2017-12-31,55373000,167444000,338112000.0,81967000,,170668000,343798000
AAXN,-19781000,17925000,97709000,177231000,40651000,,170536000,17297000,138685000,63000,31851000,268245000,2016-12-31,30609000,150888000,278163000.0,89066000,,127275000,268245000
AAXN,11039000,46445000,69245000,161409000,59526000,87000.0,128647000,19933000,93312000,206000,35335000,197892000,2015-12-31,23614000,157004000,229881000.0,109780000,168000.0,72877000,197892000
AAXN,6011000,35432000,62977000,134642000,48367000,38000.0,101548000,19918000,69043000,232000,32505000,164525000,2014-12-31,14885000,129106000,185368000.0,81141000,67000.0,56262000,164525000
AB,,202410000,,,,,,207422000,,-232393000,,,2017-12-31,,1543550000.0,1544704000.0,,,1154000,232393000.0
AB,,169531000,,,,,,216586000,,-239389000,,,2016-12-31,,1539889000.0,1540508000.0,,,619000,239389000.0
AB,,192789000,,,,,,188178000,,-212498000,,,2015-12-31,,,1576120000.0,,,274000,
AB,,180910000,,,,,,180814000,,-203277000,,,2014-12-31,,,1627892000.0,,,382000,
ABAC,4516364,5212475,22755339,68633257,62636484,2142573,4248464,1108798,3185804,70714,1062660,27003803,2017-12-31,,90543596,94060430.0,62636484,,3516834,27003803
ABAC,8503959,10047286,27290471,61559924,54458026,2591793,6407209,-1759721,3959160,473681,2448049,33697680,2016-12-31,,84113850,88176134.0,54458026,,4062284,33697680
ABAC,13241759,21246034,28670968,81726699,49656897,12323428,8696988,4489834,5062936,276065,3634052,37367956,2015-12-31,,91810218,110910441.0,49656897,,17743864,37367956
ABAC,28954395,12002396,35643944,67370120,39123869,2411012,8108298,4683131,4605091,-286739,3503207,43752242,2014-12-31,,93772738,103553524.0,39123869,,8128814,43752242
ABB,614000000,3799000000,24046000000,21939000000,4526000000,738000000,10266000000,2213000000,6972000000,-249000000,3294000000,34312000000,2017-12-31,1365000000,14819000000,43262000000.0,5628000000,7447000000,27913000000,34312000000
ABB,-817000000,3843000000,24081000000,21052000000,3644000000,1003000000,9747000000,1899000000,6649000000,-18000000,3098000000,33828000000,2016-12-31,1300000000,13395000000,39202000000.0,5597000000,6803000000,25305000000,33828000000
ABB,-536000000,3818000000,25347000000,22760000000,4565000000,1454000000,10134000000,1933000000,6980000000,65000000,3154000000,35481000000,2015-12-31,1406000000,14481000000,41356000000.0,6198000000,7439000000,26368000000,35481000000
ABB,-300000000,3845000000,28615000000,24986000000,5443000000,353000000,11215000000,2594000000,7566000000,-544000000,3649000000,39830000000,2014-12-31,1499000000,16269000000,44852000000.0,6768000000,7665000000,28037000000,39830000000
ABBV,4174000000,9960000000,7040000000,21223000000,9303000000,6415000000,21176000000,5309000000,11584000000,,9592000000,28216000000,2017-12-31,5309000000,5097000000,70786000000.0,9789000000,37368000000,65689000000,28216000000
ABBV,-2961000000,7041000000,5833000000,16187000000,5100000000,402000000,19805000000,5953000000,10421000000,298000000.0,9384000000,25638000000,2016-12-31,4566000000,4636000000,66099000000.0,6423000000,36842000000,61463000000,25638000000
ABBV,351000000,7535000000,4500000000,16314000000,8399000000,2431000000,18359000000,5144000000,10822000000,,7537000000,22859000000,2015-12-31,4435000000,3945000000,53050000000.0,8407000000,31671000000,49105000000,22859000000
ABBV,-670000000,3549000000,4426000000,16081000000,8348000000,4439000000,15534000000,1774000000,12123000000,,3411000000,19960000000,2014-12-31,3649000000,1742000000,27513000000.0,8374000000,14977000000,25771000000,19960000000
