symbol,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
A,127000000,372000000,585000000,3848000000,2247000000,,709000000,195000000,460000000,,249000000,1294000000,2018-10-31,104000000,4567000000,8541000000.0,2247000000,,3970000000,1294000000
A,-865000000,197000000,542000000,3667000000,2131000000,,661000000,236000000,436000000,,225000000,1203000000,2018-07-31,97000000,4564000000,8349000000.0,2131000000,,3781000000,1203000000
A,139000000,303000000,562000000,4525000000,3011000000,315000000.0,644000000,205000000,429000000,,215000000,1206000000,2018-04-30,91000000,4613000000,8784000000.0,3011000000,2115000000.0,4167000000,1206000000
A,185000000,215000000,538000000,4397000000,2887000000,345000000.0,673000000,-320000000,434000000,,239000000,1211000000,2018-01-31,93000000,4522000000,8698000000.0,2887000000,2145000000.0,4172000000,1211000000
AA,-75000000,288000000,2534000000,4193000000,1026000000,4000000,856000000,-41000000,238000000,37000000,618000000,3390000000,2018-09-30,7000000,5216000000,16185000000.0,1022000000,1824000000,8900000000,3390000000
AA,-97000000,-430000000,2632000000,4281000000,1095000000,13000000,947000000,75000000,265000000,38000000,682000000,3579000000,2018-06-30,9000000,5024000000,16518000000.0,1089000000,1929000000,9410000000,3579000000
AA,-166000000,55000000,2381000000,4149000000,1203000000,15000000,709000000,150000000,269000000,29000000,440000000,3090000000,2018-03-31,8000000,5368000000,17096000000.0,1196000000,1460000000,9579000000,3090000000
AA,232000000,455000000,2420000000,4238000000,1358000000,16000000,754000000,-196000000,287000000,35000000,467000000,3174000000,2017-12-31,9000000,4523000000,17447000000.0,1358000000,1404000000,10649000000,3174000000
AABA,,,,,,,,,,,,,2018-06-30,,62626875000,84958926000.0,,,22332051000,
AABA,,,,,,,,,,,,,2017-06-30,,48298581000,73374262000.0,,,25075681000,
AABA,188701000.0,214455000.0,,,1328913000.0,,,99434000.0,,-131628000.0,,,2017-03-31,252220000.0,35435717000,55368726000.0,,,19901533000,1327270000.0
AABA,-263922000.0,255259000.0,,,1119469000.0,,,161998000.0,,-95567000.0,,,2016-12-31,253754000.0,31049283000,48083079000.0,,,16999003000,1469140000.0
AAC,-6094000,-4049000,8594000.0,105389000,5259000,8350000,68879000.0,-11493000,74731000,966000.0,-5852000,74477000,2018-09-30,,145066000,506968000.0,5259000,329952000,382274000,77473000
AAC,-2988000,3290000,8393000.0,113353000,11353000,6723000,78368000.0,-3013000,75416000,,2952000,83293000,2018-06-30,,155506000,512752000.0,11353000,326533000,375955000,86761000
AAC,523000,-18999000,7747000.0,117276000,14341000,7319000,70726000.0,-202000,64501000,34000.0,6225000,75923000,2018-03-31,,157202000,519414000.0,14341000,328277000,378931000,78473000
AAC,-2594000,5262000,,111936000,13818000,4722000,,-18822000,100546000,55000.0,5212000,92782000,2017-12-31,,150994000,428275000.0,13818000,225714000,292107000,86136000
AAL,9000000,-79000000,9397000000,9498000000,314000000,2493000000,2162000000,341000000,1297000000,,865000000,10821000000,2018-09-30,,-568000000,52635000000.0,4998000000,24767000000,53203000000,11559000000
AAL,-95000000,1084000000,9137000000,9176000000,305000000,2213000000,2506000000,566000000,1361000000,,1145000000,10935000000,2018-06-30,,-869000000,52622000000.0,4674000000,24076000000,53491000000,11643000000
AAL,2000000,1799000000,8514000000,9673000000,400000000,2793000000,1887000000,186000000,1302000000,,585000000,9707000000,2018-03-31,,-1018000000,53280000000.0,5291000000,24739000000,54298000000,10401000000
AAL,-35000000,437000000,8273000000,9146000000,295000000,2554000000,1923000000,54000000,1274000000,,649000000,6853000000,2017-12-31,,3926000000,51396000000.0,5066000000,25065000000,47470000000,10196000000
AAMC,928000,1190000,4605000.0,53276000,30194000,,-671000.0,-1155000,1467000,,-2138000,3934000,2018-09-30,,-200278000,54914000.0,48098000,,255192000,3934000
AAMC,151000,-48000,4524000.0,51958000,29266000,,-608000.0,-1067000,1310000,,-1918000,3916000,2018-06-30,,-200034000,53442000.0,46335000,,253476000,3916000
AAMC,-4234000,-4220000,,51340000,29115000,,,-4364000,5513000,,-1461000,4052000,2018-03-31,,-200246000,52867000.0,45873000,,253113000,4052000
AAMC,536000,2688000,-15003000.0,58413000,33349000,,19080000.0,-1784000,20927000,,-1847000,4077000,2017-12-31,,-196895000,60387000.0,53240000,,257282000,4077000
AAME,2551000,1277000,,,10038000,,,934000,,-484000,,,2018-09-30,,102118000,339549000.0,,,237431000,46370000
AAME,-951000,480000,,,7487000,,,3185000,,57000,,,2018-06-30,,101667000,341655000.0,,,239988000,49443000
