symbol,Name,Rating,Fair Price,Expected Return,Base Return,Growth Potential,Liquid Position,Debt Position,Market Cap,Sector
A,Agilent Technologies Inc.,sell,66.88671903161375,0.024882009625916447,-0.19118811748000553,0.03867746229659774,0.08561243750008796,0.017263648652540597,22418356341.0,Healthcare
AA,Alcoa Corporation,sell,24.608157253321004,-0.0705992644166909,-0.4621171572600098,0.0,0.3742680951989297,-0.050218985108061664,5324405099.0,Basic Materials
AABA,Altaba Inc.,buy,79.36561773035393,0.3296446372428123,0.31528351767297913,,,-0.053107663182617726,37891320173.0,Financial Services
AAC,AAC Holdings Inc.,sell,0.5057906957955488,-0.7252399484788816,-0.4621171572600098,0.0,0.6686279593059086,-0.9992195332772312,60029746.0,Healthcare
AAL,American Airlines Group Inc.,hold,47.745303986373045,0.6080495741297094,0.7498093349064114,-0.2507571715322079,0.2346792958658086,-0.23230680558048256,14646490523.0,Industrials
AAMC,Altisource Asset Management Corp Com,buy,50.963218204992785,0.7389419938050185,-0.4621171572600098,0.0,0.4891990317933317,0.6443913365192457,49790018.0,Financial Services
AAME,Atlantic American Corporation,buy,4.707981029597409,0.8938157858299466,0.43998729563404604,,0.0952769619871301,0.27549767683936577,52518216.0,Financial Services
AAN,Aaron's Inc.,buy,60.36912260660836,0.41224639871800356,0.03289655490821719,0.06821797650275063,0.04680107307388748,0.15062435263728613,3374165213.0,Industrials
AAOI,Applied Optoelectronics Inc.,buy,45.44193022798044,1.858711374454715,0.5974618001212688,0.977350036795213,0.3084127502390521,-0.11068460985349349,324500087.0,Technology
AAON,AAON Inc.,sell,32.816350053122044,-0.004370651206073217,-0.13659023837664863,0.013830030203864752,0.03874093748806118,-9.041245448904167e-05,1866547261.0,Basic Materials
AAP,Advance Auto Parts Inc W/I,buy,229.19535058911234,0.5269715350043442,0.0681447233441057,-0.14986094293010344,0.25355127932511445,0.26584748065175234,11620716683.0,Consumer Cyclical
AAPL,Apple Inc.,hold,171.28338690499407,0.2335109822239077,0.09182232752102104,0.07106770353684899,0.07661669154745887,-0.11478817966098531,720301698870.0,Technology
AAT,American Assets Trust Inc.,sell,40.76935606677498,0.0689857468247026,-0.14955536470770325,0.043211065488315326,0.01927046893860207,0.08339240473765241,1932329191.0,Real Estate
AAU,Almaden Minerals Ltd.,sell,0.6987774417016561,-0.09063068507687903,-0.19680945853618503,,0.03733292964103274,0.0013770610658223603,92660889.0,Basic Materials
AAWW,Atlas Air Worldwide Holdings,buy,54.018817668761834,0.28838573300189146,-0.056259695136926635,0.07563408413253692,0.13774583801909812,-0.04447722662826481,1242408725.0,Industrials
AAXN,Axon Enterprise Inc.,sell,29.86618337291901,-0.3242569425858075,-0.34937496881903995,0.1365963002545152,0.08991329600193065,-0.2731673195927343,2908195148.0,Industrials
AB,AllianceBernstein Holding L.P. Units,sell,22.073818138583867,-0.10956282325070192,-0.22454335079593035,,,-0.00012057127699316439,2740891285.0,Financial Services
ABAC,Renmin Tianli Group Inc.,buy,2.569323303472373,1.1395037049075905,0.8881164873785417,-0.9124312713042138,0.9970445380446202,0.09930516803619138,9961844.0,Consumer Defensive
ABB,ABB Ltd,hold,21.043901661247464,0.17939606503889494,-0.011498734792162013,-0.1340217113475095,0.22657647528606506,0.003681169886980973,41356989956.0,Industrials
ABBV,AbbVie Inc.,buy,101.83692627911601,0.2491189322218949,-0.021234958830479322,0.17666885544148525,0.05431373893685021,-0.05657215962082629,132837343837.0,Healthcare
ABC,AmerisourceBergen Corporation,strong buy,153.13301035705885,1.1187432122494894,0.17512639789717843,0.13889092746545728,0.6602593529205292,0.02589325846002799,16225628224.0,Healthcare
ABCB,Ameris Bancorp,buy,73.54013682011684,1.2062821446735335,-0.07502816236294962,,0.18800848844425122,0.9996349229884149,1653573303.0,Financial Services
ABDC,Alcentra Capital Corp.,sell,6.057652420541365,-0.050776862001353285,0.2973731311765906,,0.04192812855188266,-0.4575469044822774,92863398.0,Financial Services
ABEO,Abeona Therapeutics Inc.,sell,5.07585942076493,-0.22162653646814717,-0.45693365253955764,-0.00019985324339943933,0.16576992341582253,0.0022682631465364977,342323630.0,Healthcare
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),sell,4.4205311810322225,0.042832997391848746,0.030983318630275702,-0.10873102783553601,0.03804484975697742,-0.0055387861171117825,72788781007.0,Consumer Defensive
ABG,Asbury Automotive Group Inc,buy,114.78226541534697,0.7779971801600319,0.18423848878058013,-0.08885421730274634,0.46135194055956186,0.09148701334093534,1365055215.0,Consumer Cyclical
ABIL,Ability Inc.,buy,2.8098195254636056,0.5620536367224539,-0.4621171572600098,0.0,0.8355698465157901,0.12113216471422272,6889593.0,Technology
ABIO,ARCA biopharma Inc.,buy,0.723630460049737,0.9470284192452741,0.19360168434601088,,0.6542677442202569,0.031690207926555525,5360762.0,Healthcare
ABM,ABM Industries Incorporated,buy,43.27671958099128,0.35149855678917324,-0.06870489944518987,0.04533787769770625,0.24538679358283444,0.040428290620637464,2263490540.0,Industrials
ABMD,ABIOMED Inc.,hold,385.7175605623658,0.26522114287798604,-0.2220600089460547,0.3933999747047665,0.019251829267028953,0.0006298249939189482,14583798843.0,Healthcare
ABR,Arbor Realty Trust,sell,2.316052000925025,-0.6764049276082249,-0.0045571710245840835,,0.150250925073248,-0.9410955207514002,975361843.0,Real Estate
ABT,Abbott Laboratories,sell,52.5219289619264,-0.17132886574209538,-0.23452494567862825,0.017139841296169855,0.05710456500726324,-0.08215521770072576,121766569109.0,Healthcare
ABTX,Allegiance Bancshares Inc.,sell,-4.565736496692176,-1.0449518908232933,-0.2779737524578074,,0.12452228542234978,-0.9768492320710541,764819937.0,Financial Services
ABUS,Arbutus Biopharma Corporation,sell,-1.075632729366898,-1.2209046031367978,-0.9534974017815244,-0.7897411063360495,0.33460421041771826,0.12026091181060705,206930087.0,Healthcare
AC,Associated Capital Group Inc.,sell,33.01670073316185,-0.06754036754459264,-0.3533817708228998,-0.030846524856964708,0.19829282562783845,0.05092631975498252,862551842.0,Financial Services
ACA,Arcosa Inc.,buy,33.60005428253583,0.21501162027075088,-0.008669270649413474,,0.15618479550147102,2.7312666242451655e-05,1427857588.0,Industrials
ACAD,ACADIA Pharmaceuticals Inc.,buy,64.02059995404154,2.1044991411035685,0.9982507459411247,1.0,0.0481533409580992,-0.009373728548106253,2636571662.0,Healthcare
ACB,Aurora Cannabis Inc.,sell,4.392866424042223,-0.2334962238366593,-0.4333116275399115,0.18274277022684426,0.03925869795889758,-0.10015278358592072,6367767907.0,Healthcare
ACBI,Atlantic Capital Bancshares Inc.,hold,17.679704189934203,0.05486731469163574,-0.15776224889007706,,0.11298296254887319,0.027531047871732106,469681049.0,Financial Services
ACC,American Campus Communities Inc,sell,35.27282581933728,-0.09835725806845087,-0.22433421665200082,-0.005148753005109308,0.01159080936276169,0.04279454147623052,5859466427.0,Real Estate
ACCO,Acco Brands Corporation,buy,13.41332489556029,0.7587740268135204,0.19423206784001557,-0.06178740474630462,0.45471657197880044,0.019224979964649114,857876036.0,Industrials
ACER,Acer Therapeutics Inc.,sell,17.951481842041545,-0.21447194356588734,-0.3751028511337783,,0.09388277783234211,-0.0007206530169020509,251324700.0,Healthcare
ACET,Aceto Corporation,strong buy,4.852227969303642,2.9805558547715174,0.9999999340741108,0.9025241926943359,0.9999961550197538,0.010566790230865264,38149392.0,Healthcare
ACGL,Arch Capital Group Ltd.,sell,21.315574773916243,-0.09488049173723313,-0.0262089426683928,,0.03285611834104696,-0.20771258894415934,10798042190.0,Financial Services
ACH,Aluminum Corporation of China Limited American Depositary Shares,buy,19.351678902479808,1.4188270941108718,0.4827060263046328,,0.0874685472140535,0.7811837378397346,4906330376.0,Basic Materials
